EntryNum1,FirstAuthLastName2,Year3,NumCites4,DatePulled5,Dbsource6,FullCite7,ScaleTitle8,CronAlpha9,NumItems10,Intermixed11,FirstValidation12,ItemTexts13,ScalePoints14,Instructions15,Notes16,jif17,Category18,EgoStatements19,,
76,Christo,2003,139,03-08-2021,Google Scholar,"Christo, G., Jones, S. L., Haylett, S., Stephenson, G. M., Lefever, R. M., & Lefever, R. (2003). The Shorter PROMIS Questionnaire: Further validation of a tool for simultaneous assessment of multiple addictive behaviours. Addictive behaviors, 28(2), 225-248.",Shorter PROMIS/Relationship Submissive,0.82,10,TRUE,FALSE,I have tended to be upset when someone close to me takes care of someone else; I have felt that I become a real person only when I am being totally looked after by someone else; I have found that other people have tended to express progressively more concern about my dependent relationships; I have tended to find someone else to be close to when my primary partner is away even for a short time; I have tended to find new close relationships within days or weeks of the failure of the old one; I have tended to venture into company only if I have someone to look after me; I have felt an overwhelming sense of excitement when I find a new person to look after my needs or a new way in which an existing partner can look after them better; I have tended to think that a close friendship is when someone else really looks after me; I have tended to get irritable and impatient when people look after themselves rather than me; I have felt most in control of my feelings when other people are performing services of one kind or another for me.,6,Please read each question carefully before answering.Place a cross on the scale between one and six to indicate the extent to which the statement is‘Like’ you or ‘Not like’ you.,NA,3.645,Psychology,TRUE,,
77,Christo,2003,139,03-08-2021,Google Scholar,"Christo, G., Jones, S. L., Haylett, S., Stephenson, G. M., Lefever, R. M., & Lefever, R. (2003). The Shorter PROMIS Questionnaire: Further validation of a tool for simultaneous assessment of multiple addictive behaviours. Addictive behaviors, 28(2), 225-248.",Shorter PROMIS/Compulsive helping dominant,0.84,10,TRUE,FALSE,"I have been afraid that I would be thought of as (and perhaps become) a callous person if I do not show my capacity for self-denial and caretaking on a daily basis; The things I have done for others have often resulted in there being not much left of my personal life; I have preferred to look after other people on my own rather than as part of a team; I have found life rather empty when someone for whom I was caring gets better and I have felt resentful at times when I am no longer needed; I have tended to use my self-denial and caretaking for others as both a comfort and strength for myself; I have found that I tend to adopt a self-denying and caretaking role in many of my relationships; I have regularly given unsolicited advice to other people on how to solve their problems; I have found it difficult to leave any loose ends in a conversation in which I am trying to be helpful; I have often stayed up half the night having helpful conversations; I have felt that I have become a real person only when I am tidying up the physical, emotional, and social messes made by someone else.",6,Please read each question carefully before answering.Place a cross on the scale between one and six to indicate the extent to which the statement is‘Like’ you or ‘Not like’ you.,NA,3.645,Psychology,TRUE,,
78,Christo,2003,139,03-08-2021,Google Scholar,"Christo, G., Jones, S. L., Haylett, S., Stephenson, G. M., Lefever, R. M., & Lefever, R. (2003). The Shorter PROMIS Questionnaire: Further validation of a tool for simultaneous assessment of multiple addictive behaviours. Addictive behaviors, 28(2), 225-248.",Shorter PROMIS/Compulsive helping submissive,0.82,10,TRUE,FALSE,I have tended to pride myself on never being a burden to others; Other people have tended to express concern that I am not doing enough for my own pleasure; I have tried to avoid all risks of upsetting other people; I tended to give (an act of service to others) and not count the costs even though the costs mount progressively; I have tended to remain loyal and faithful regardless of what I may endure in a close relationship; I have liked to make myself useful to other people even when they do not appreciate what I do; I have tended to take on more work for someone close to me even if I have not finished the previous batch; I have felt like a real person only when performing acts of service for someone else; I have often helped someone close to me more than I intended; I have felt most in control of my feelings when performing services of one kind or another for someone else.,6,Please read each question carefully before answering.Place a cross on the scale between one and six to indicate the extent to which the statement is‘Like’ you or ‘Not like’ you.,NA,3.645,Psychology,TRUE,,
79,Christo,2003,139,03-08-2021,Google Scholar,"Christo, G., Jones, S. L., Haylett, S., Stephenson, G. M., Lefever, R. M., & Lefever, R. (2003). The Shorter PROMIS Questionnaire: Further validation of a tool for simultaneous assessment of multiple addictive behaviours. Addictive behaviors, 28(2), 225-248.",Shorter PROMIS/Work,0.84,10,TRUE,FALSE,"I have taken on a piece of work that I actively disliked not so much out of necessity but more simply to keep myself occupied; I have tended to work faster and for longer hours than any other people of my own ability so that they have found it difficult to keep up with me; When I have definitely overworked and got myself irritable and overtired I have tended to feel defiant as well as slightly ashamed; I have tended to tidy up the mess that someone else has got into at work, even when I have not been asked to do so; I have found that finishing a specific project is often irrelevant in deciding when to stop working; When working with others I have tended to disguise the full amount of time and effort that I put into my work; I have tended to keep reserve projects up my sleeve just in case I find some time, even a few minutes to spare; I have regularly covered other people’s work and responsibilities even when there was no need for me to do so; Other people have expressed repeated serious concern over the amount of time I spend working; I have found that once I start work in any day I find it difficult to get out of the swing of it and relax.",6,Please read each question carefully before answering.Place a cross on the scale between one and six to indicate the extent to which the statement is‘Like’ you or ‘Not like’ you.,NA,3.645,Psychology,TRUE,,
80,Christo,2003,139,03-08-2021,Google Scholar,"Christo, G., Jones, S. L., Haylett, S., Stephenson, G. M., Lefever, R. M., & Lefever, R. (2003). The Shorter PROMIS Questionnaire: Further validation of a tool for simultaneous assessment of multiple addictive behaviours. Addictive behaviors, 28(2), 225-248.",Shorter PROMIS/Exercise,0.87,10,TRUE,FALSE,I have often been so tired with exercise that I have found it difficult to walk or to climb up stairs; I have preferred to exercise alone rather than in company; I have often tried to take exercise several times a day; I have particularly enjoyed getting wringing wet with sweat when I exercise; I have often felt a sense of tension and excitement when about to take exercise; I have responded positively to an unexpected invitation to exercise despite having just finished my regular exercise; I have felt that I become a real person only when I am exercising; I have tended to use exercise as both a comfort and strength even when I have been perfectly fit and do not need any more; I have often taken exercise just to tire myself sufficiently for sleep; When I have gone out I have often taken sports clothes and equipment with me just in case the opportunity to exercise arises.,6,Please read each question carefully before answering.Place a cross on the scale between one and six to indicate the extent to which the statement is‘Like’ you or ‘Not like’ you.,NA,3.645,Psychology,TRUE,,
81,Christo,2003,139,03-08-2021,Google Scholar,"Christo, G., Jones, S. L., Haylett, S., Stephenson, G. M., Lefever, R. M., & Lefever, R. (2003). The Shorter PROMIS Questionnaire: Further validation of a tool for simultaneous assessment of multiple addictive behaviours. Addictive behaviors, 28(2), 225-248.",Shorter PROMIS/Food binging,0.94,10,TRUE,FALSE,"I have tended to think of food not so much as the satisfaction of hunger but as a reward for all the stress I endure; I have tended to use food as both a comfort and a strength even when I have not been hungry; I have found that being full has often been irrelevant in deciding when to stop eating; I have found that I have sometimes put on weight even when I am trying to diet; Other people have expressed repeated serious concern about my excessive eating; I have often preferred to eat alone rather than in company; When I have definitely eaten too much I have tended to feel defiant as well as disappointed in myself; I have preferred to graze like a cow throughout the day rather than ever allow myself to get hungry; I have had three or more different sizes of clothes in my adult (non pregnant, if female) wardrobe; I have been aware that once I have consumed certain foods I have found it difficult to control further eating.",6,Please read each question carefully before answering.Place a cross on the scale between one and six to indicate the extent to which the statement is‘Like’ you or ‘Not like’ you.,NA,3.645,Psychology,TRUE,,
82,Christo,2003,139,03-08-2021,Google Scholar,"Christo, G., Jones, S. L., Haylett, S., Stephenson, G. M., Lefever, R. M., & Lefever, R. (2003). The Shorter PROMIS Questionnaire: Further validation of a tool for simultaneous assessment of multiple addictive behaviours. Addictive behaviors, 28(2), 225-248.",Shorter PROMIS/Food starving,0.88,10,TRUE,FALSE,"In a restaurant or even at home I have often tried to persuade others to choose dishes that I knew I would like even though I would probably refuse to eat them; When I have eaten in company I have liked to be with special friends or family members whom I can rely on to finish off some foods for me; I have had a list of so many things that I dare not eat, so that there is very little left that I can eat; I have often chewed something and then taken it out of my mouth and thrown it away; I have particularly enjoyed eating raw vegetables and also salty or sour things; When I have eaten in company I have tended to time my eating as a form of strategy so that others are not really aware of just how little I am eating; When I have eaten something reasonably substantial I have tended to feel disappointed or even angry with myself as well as slightly relieved; I have become irritable and impatient at meal times if someone has tried to persuade me to eat something; I have often avoided meal times by claiming that I have already eaten when it is not true; Some food has made me wish I could eat it like other people do but I nonetheless find that I could not bring myself to do so.",6,Please read each question carefully before answering.Place a cross on the scale between one and six to indicate the extent to which the statement is‘Like’ you or ‘Not like’ you.,NA,3.645,Psychology,TRUE,,
83,International Restless Legs Syndrome Study Group,2002,1402,1/18/2021,Google Scholar,"International Restless Legs Syndrome Study Group. (2003). Validation of the International Restless Legs Syndrome Study Group rating scale for restless legs syndrome. Sleep medicine, 4(2), 121-132.",RLS Scale,0.93,5,FALSE,TRUE,"Overall, how would you rate the RLS discomfort in your legs or arms?; Overall,  how  would  you  rate  the need to move around because of your RLS symptoms?; Overall,  how  much relief of your RLS arm or leg discomfort do you get from moving around?; Overall,  how severe is your sleep disturbance from your RLS symptoms?; How severe is your tiredness or sleepiness from your RLS symptoms?; Overall, how severe is your RLS as a whole?; How often do you get RLS symptoms?; When you have RLS symptoms how severe are they on an average day?; Overall,  how  severe  is  the  impact  of  your  RLS symptoms on your ability to carry out your daily affairs, for example  carrying  out  a  satisfactory  family,  home, social, school or work life?; How  severe  is  your mood disturbance  from  your RLS   symptoms  for   example   angry,   depressed, sad, anxious or irritable?",4,,,3.586,Biomedical,FALSE,,
84,Awad,2003,53,1/18/2021,Google Scholar,"Awad, A. G., & Voruganti, L. N. (2004). Body weight, image and self-esteem evaluation questionnaire: development and validation of a new scale. Schizophrenia research, 70(1), 63-67.",Self Esteem,0.79,12,FALSE,FALSE,"I am upset with my present weight;  I feel active and energetic;  I am going out to enjoy myself more often；  I am not able to control my hunger and craving for food；  I dislike the way I look； I am self-conscious in the company of others because of my weight；  I am reminded of my body shape and appearance during the day；  I am avoiding friends and relatives because I am out of shape；  I know why I put on weight, and I know how to lose it； I believe that excess weight is not good for my general health； I am taking steps to control my weight； Generally, I am feeling good about myself",3,,,3.759,Psychology,TRUE,,
85,Butler,2004,407,1/18/2021,Google Scholar,"Butler, S. F., Budman, S. H., Fernandez, K., & Jamison, R. N. (2004). Validation of a screener and opioid assessment measure for patients with chronic pain. Pain, 112(1-2), 65-75.",Opioid Assessment,0.79,24,FALSE,FALSE,"How often do you feel that your pain is out of control?; How often do you have mood swings?; How often do you do things that you later regret?; How often has your family been supportive and encouraging?; How often have others told you that you have a bad temper?; Compared with other people, how often have you been in a car accident?; How often do you smoke a cigarette within an hour after you wake up?; How often have you felt a need for higher doses of medication to treat your pain?; How often do you take more medication than you are supposed to?; How often have any of your family members, including parents and grandparents, had a problem with alcohol or drugs?; How often have any of your close friends had a problem with alcohol or drugs?; How often have others suggested that you have a drug or alcohol problem?; How often have you attended an AA or NA meeting?; How often have you had a problem getting along with the doctors who prescribed your medicines?; How often have you taken medication other than the way that it was prescribed?; How often have you been seen by a psychiatrist or a mental health counselor?; How often have you been treated for an alcohol or drug problem?; How often have your medications been lost or stolen?; How often have others expressed concern over your use of medication?; How often have you felt a craving for medication?; How often has more than one doctor prescribed pain medication for you at the same time?; How often have you been asked to give a urine screen for substance abuse?; How often have you used illegal drugs (for example, marijuana, cocaine, etc.) in the past five years?; How often, in your lifetime, have you had legal problems or been arrested?",5,,,6.029,Biomedical,FALSE,,
86,Devilly,2004,19,1/18/2021,Google Scholar,"Devilly, G. J. (2004). An approach to psychotherapy toleration: the Distress/Endorsement Validation Scale (DEVS) for clinical outcome studies. Journal of Behavior Therapy and Experimental Psychiatry, 35(4), 319-336.",DEVS1,0.9,8,FALSE,FALSE,"Distress experienced during first assessment session.; Distress experienced during first treatment session; After first therapy session,distress experienced for the next few hours; How anxious about returning to therapy for second treatment session; Overall, how intrusive was the therapy; Overall, how distressing was the whole treatment; If knew as much about the treatment technique as now,how inclined in still participating; How likely in recommending this treatment to someone else",4,,,1.96,Psychology,FALSE,,
87,Devilly,2004,19,1/18/2021,Google Scholar,"Devilly, G. J. (2004). An approach to psychotherapy toleration: the Distress/Endorsement Validation Scale (DEVS) for clinical outcome studies. Journal of Behavior Therapy and Experimental Psychiatry, 35(4), 319-336.",DEVS2,0.92,10,FALSE,FALSE,"Distress experienced during first assessment session;  Distress experienced during first treatment session; After first therapy session,distress experienced for the next few hours; How anxious about returning to therapy for second treatment session; Overall, how intrusive was the therapy; Overall, how distressing was the whole treatment; Overall, how exhausting was the whole treatment; If knew as much about treatment technique as now,how inclined in still participating; How likely in recommending this treatment to someone else; Believe you received value for your time and money",4,,,1.96,Psychology,FALSE,,
88,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Emotional,0.88,5,FALSE,FALSE,Feeling tense?;Feeling nervous?;Feeling irritable?;Rapid mood changes?;Feeling uneasy?  ,4,,"1. all of the questions had the same format (i.e., they were phrased positively and asked about the symptoms observed by a subject within the past week). 2.""To the scale, we added demographic items and validating questions that included the Zung Anxiety Scale (Zung, 1971), the Rand Mental Health Inventory (Ware, Davies-Every, Brook, & Jonston, 1979), the Rand Depression Screener (Barnum, Wells, Leack, & Lands- verk, 1988), and the information about the use of medical and psychiatric services. ""3. Alpha level=0.92 (35item scale without the Avoidance subscale. )",3.079,Psychology,FALSE,,
89,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Physiological,0.86,10,FALSE,FALSE,Muscle Tension?; Aches or soreness?; Muscle weakness and tiredness?; Upset stomach?; The need to go to the bathroom more often than usual?; Trembling or shaking?; Excessive sweating?; Rapid heart beats?; Hot flashes?; Dizziness or light-headedness?,4,,,3.079,Psychology,FALSE,,
90,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Physiological_Psychosomatic,0.8,5,FALSE,FALSE,Muscle Tension?;Aches or soreness?;Muscle weakness and tiredness?;Upset stomach?;The need to go to the bathroom more often than usual?,4,,,3.079,Psychology,FALSE,,
91,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Physiological_Autonomic,0.78,5,FALSE,FALSE,Trembling or shaking?;Excessive sweating?;Rapid heart beats?;Hot flashes?;Dizziness or light- headedness?,4,,,3.079,Psychology,FALSE,,
92,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Cognitive,0.89,10,FALSE,FALSE,Feeling that everything around you is changed or unreal?;Fear that something terrible is about to happen?;Fear of going crazy?;Fear of being left alone by everybody?;Fear of losing control over your own behavior?;Frequent thoughts that were frightening? ,4,,,3.079,Psychology,FALSE,,
93,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Cognitive_General-Cognitive,0.75,6,FALSE,FALSE,Feeling that everything around you is changed or unreal?;Fear that something terrible is about to happen?;Fear of going crazy?;Fear of being left alone by everybody?;Fear of losing control over your own behavior?;Frequent thoughts that were frightening? ,4,,,3.079,Psychology,FALSE,,
94,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Cognitive_Phobia,0.87,4,FALSE,FALSE,"Fear of being trapped in an enclosed space?; Fear of driving in certain places (tunnels, bridges, highways)?; Fear of flying in airplanes?; Fear of going far from your home?;Fear of being trapped in an enclosed space?; Fear of driving in certain places (tunnels, bridges, highways)?; Fear of flying in airplanes?; Fear of going far from your home? ",4,,,3.079,Psychology,FALSE,,
95,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Behavioral,0.78,10,FALSE,FALSE,"Doing too many things at the same time?; Not being able to finish anything?; Doing more things than you usually do?;Keeping yourself extremely busy?;Arranging and rearranging your things in a certain way?;Checking and rechecking something several times to make sure you have done it right?;Grooming yourself repeatedly (i.e., cleaning your clothing, washing your hands, or combing your hair?);Seeking entertainment?;Looking for reassurance or approval?;Seeking social contacts?;Avoiding contacts with other people?;Avoiding situations that make you feel uncomfortable?;Avoiding objects that frighten you?;Avoiding social gatherings?;Avoiding crowds? ",4,,,3.079,Psychology,FALSE,,
96,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Behavioral_Over-Committed,0.75,4,FALSE,FALSE,Doing too many things at the same time?; Not being able to finish anything?; Doing more things than you usually do?;Keeping yourself extremely busy?,4,,,3.079,Psychology,FALSE,,
97,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Behavioral_Repetitive,0.73,3,FALSE,FALSE,"Arranging and rearranging your things in a certain way?;Checking and rechecking something several times to make sure you have done it right?;Grooming yourself repeatedly (i.e., cleaning your clothing, washing your hands, or combing your hair?)",4,,,3.079,Psychology,FALSE,,
98,Bystritsky,1990,42,03-08-2021,Google Scholar,"Bystritsky, A., Linn, L. S., & Ware, J. E. (1990). Development of a multidimensional scale of anxiety. Journal of Anxiety Disorders, 4(2), 99-115.",Behavioral_Social,0.66,3,FALSE,FALSE,Seeking entertainment?;Looking for reassurance or approval?;Seeking social contacts?,4,,,3.079,Psychology,FALSE,,
99,DiTommaso,1993,361,03-08-2021,Google Scholar,"DiTommaso, E., & Spinner, B. (1993). The development and initial validation of the Social and Emotional Loneliness Scale for Adults (SELSA). Personality and Individual Differences, 14(1), 127-134.",Romantic,0.93,12,TRUE,FALSE,"I am an important part of someone else’s life; I have a romantic partner with whom I share my most intimate thoughts and feelings; There is someone who wants to share their life with me; I have a romantic or marital partner who gives me the support and encouragement I need; I have an unmet need for a close romantic relationship; I wish I could tell someone who I am in love with, that I love them; I find myself wishing for someone with whom to share my life; I’m in love with someone who is in love with me; I wish I had a more satisfying romantic relationship; I have someone who fulfills my needs for intimacy; I have someone who fulfills my emotional needs; I have a romantic partner to whose happiness I contribute",7,,1. the full scale name: THE SOCIAL AND EMOTIONAL LONELINESS SCALE FOR ADULTS (SELSA) 2.Alpha level of the full scale is 0.89 to 0.93,2.31,Psychology,TRUE,,
100,DiTommaso,1993,361,03-08-2021,Google Scholar,"DiTommaso, E., & Spinner, B. (1993). The development and initial validation of the Social and Emotional Loneliness Scale for Adults (SELSA). Personality and Individual Differences, 14(1), 127-134.",Social,0.91,14,TRUE,TRUE,"What’s important to me doesn’t seem important to the people I know; I don’t have a friend(s) who shares my views, but I wish I did; I feel part of a group of friends; My friends understand my motives and reasoning; I feel ‘in tune’ with others; I have a lot in common with others; I have friends that I can turn to for information; I like the people hang out with; I can depend upon my friends for help; I have friends to whom I can talk about the pressures in my life; I don’t have a friend(s) who understands me, but I wish I did. I do not feel satisfied with the friends that I have; I have a friend(s) with whom I can share my views; I’m not part of a group of friends and I wish I were. 
",7,,,2.31,Psychology,TRUE,,
101,DiTommaso,1993,361,03-08-2021,Google Scholar,"DiTommaso, E., & Spinner, B. (1993). The development and initial validation of the Social and Emotional Loneliness Scale for Adults (SELSA). Personality and Individual Differences, 14(1), 127-134.",Family,0.89,11,TRUE,TRUE,"I feel alone when I’m with my family; No one in my family really cares about me; There is no one in my family I can depend upon for support and encouragement, but I wish there were I really care about my family; I really belong in my family; I wish my family was more concerned about my welfare; I feel part of my family; My family really cares about me; There is no one in my family I feel close to, but I wish there were. My family is important to me; I feel close to my family",7,,,2.31,Psychology,TRUE,,
102,Hare,1996,212,03-08-2021,Google Scholar,"Hare, D. L., & Davis, C. R. (1996). Cardiac Depression Scale: validation of a new depression scale for cardiac patients. Journal of psychosomatic research, 40(4), 379-386.",cardiac depression scale (CDS),0.9,35,TRUE,TRUE,My sleep is restless and disturbed; I wake up in the early hours of the morning and cannot get back to sleep; Sex doesn't interest me anymore; I get pleasure from life at present I feel in good spirits; I gain just as much pleasure from my leisure activities as I used to; My appetite is as good as it has always been; My problems are not yet over; I am concerned about the uncertainty of my health; Things which I regret about my life are bothering me; I may not recover properly; I am not the person I used to be; The possibility of sudden death worries me; A feeling of loss overwhelms me at times; I have been fidgeting a lot lately; I never feel sad and gloomy; I lose my temper more easily nowdays; l seem to get more easily irritated by others than before; I feel frustrated; I become tearful more easily than before; I am concerned about my capacity for sexual activity; My memory is as good as it always was; My mind is as fast and alert as always ;My concentration is as good as it ever wa;s I feel independent and in control of my life; There is only misery in the future for me; Dying is the best solution for me; I feel like I am living on borrowed time; I'll never be as productive as before; I am a happy and contented person in spite of my troubles; I feel calm; I have dropped many of my interests and activities; I can't be bothered doing anything much; I get hardly anything done now; I feel that I have let people down,7,,,2.41,Biomedical,TRUE,,
103,Speckens,1996,332,03-08-2021,Google Scholar,"Speckens, A. E., Spinhoven, P., Sloekers, P. P., Bolk, J. H., & van Hemert, A. M. (1996). A validation study of the Whitely Index, the Illness Attitude Scales, and the Somatosensory Amplification Scale in general medical and general practice patients. Journal of psychosomatic research, 40(1), 95-104.",Whitely Index,0.8,14,TRUE,FALSE,"Do you often worry about the possibility that you have got a serious illness?; Are you bothered by many aches and pains?;Do you find that you are often aware of various things happening in your body?;Do you worry a lot about your health?;Do you often have the symptoms of very serious illnesses?;If a disease is brought to your attention (through the radio, television, newspapers or someone you know) do you worry about getting it yourself?;If you feel ill and someone tells you that you are looking better, do you become annoyed?;Do you find that you are bothered by many different symptoms?; Is it easy for you to forget about yourself and think about all sorts of other things?;Is it hard for you to believe the doctor when he tells you there is nothing for you to worry about?;Do you get the feeling that people are not taking your illness seriously enough?;Do you think that you worry about your health more than most people?;Do you think there is something seriously wrong with your body?;Are you afraid of illness?  ",2,,"The indext was tested by 3 populations:Medical Outpatients, General, General Practice, and Population. The alpha levels are 0.80, 0.78, 0.76. I used the first one in the table. The validation shows one factor, but I think there are two factors",2.41,Biomedical,FALSE,,
104,Dozois,2005,63,1/18/2021,ScienceDirect,"Dozois, D. J. A., & Westra, H. A. (2005). Development of the Anxiety Change Expectancy Scale (ACES) and validation in college, community, and clinical samples. Behaviour Research and Therapy, 43(12), 1655–1672. https://doi.org/10.1016/j.brat.2004.12.001",The Anxiety Change Expectancy Scale (ACES),0.89,20,FALSE,FALSE,"I feel pessimistic that my anxiety problems could ever change for the better; Even though I try, nothing seems to help with my anxiety; It would be extremely difficult or impossible to solve my problems with anxiety; I have had some positive experiences with being able to control my anxiety through talking positively to myself; My problems with anxiety are too severe to benefit from treatment; Self-help methods may help others control their anxiety but they won’t work for me;  I don’t believe I will ever feel truly relaxed and not worried; Facing my fears has never helped me to reduce my anxiety; When I force myself to do something that scares me, often it’s not as bad as I thought; I have had some success in reducing my anxiety; There is very little anyone could do to help me solve my anxiety problems; Even when I try to talk positively to myself, it doesn’t help my anxiety; Positive thinking is helpful to me in managing my anxiety; There is no solution to my anxiety problems; I am optimistic that my anxiety can change for the better; I have found that I can reduce my anxiety by telling myself to relax or by using relaxation exercises; I’ll never be able to control my anxiety and worry; I believe it’s quite possible for me to feel less worried and more relaxed;  If I work hard, I can have a positive impact on my problems with anxiety; There are factors contributing to my anxiety that I can learn to control",5,"students were invited to participate if they experienced
‘‘difficulties with anxiety (e.g., excessive worry, test anxiety, panic, etc.)’’. After obtaining
informed consent, participants were instructed to complete the package of questionnaires. The
scales were presented in randomized order for each participant.",,4.496,Psychology,TRUE,,
105,Kalkstein,2008,84,1/30/2021,PubMed,"Kalkstein, S., & Tower, R. B. (2008). The Daily Spiritual Experiences Scale and Well-Being: Demographic Comparisons and Scale Validation with Older Jewish Adults and a Diverse Internet Sample. Journal of Religion and Health, 48(4), 402–417. https://doi.org/10.1007/s10943-008-9203-0",Daily Spiritual Experiences Scale (DSES),0.96,16,FALSE,FALSE,"I feel God’s presence; I experience a connection to all of life; During worship, or at other times when connecting with God, I feel joy, which lifts me out of my daily concerns;  I find strength in my religion or spirituality; I find comfort in my religion or spirituality; I feel deep inner peace or harmony; I ask for God’s help in the midst of daily activities; I feel guided by God in the midst of daily activities; I feel God’s love for me, directly; I feel God’s love for me, through others;  I am spiritually touched by the beauty of creation; I feel thankful for my blessings; I feel a selfless caring for others; I accept others even when they do things that I think are wrong;  I desire to be closer to God, or in union
with him; In general, how close do you feel to God?",4,participants were asked to rank their feelings of each question,,1.62,Psychology,TRUE,,
106,Hodge,2017,22,1/31/2021,PubmMed,"Hodge, L. M., Turner, K. M. T., Sanders, M. R., & Filus, A. (2016). Sustained Implementation Support Scale: Validation of a Measure of Program Characteristics and Workplace Functioning for Sustained Program Implementation. The Journal of Behavioral Health Services & Research, 44(3), 442–464. https://doi.org/10.1007/s11414-016-9505-z",Program Benefits,0.82,4,FALSE,FALSE,Benefits from learning new professional skills; Benefits from feeling personally fulfilled in working to improve your community; Benefits from networking with professionals;  Benefits from gaining support from others in your community for your work,4,"The survey was open for 3 months, and participants were
offered the chance to go into a draw to win an iPad for completing the survey. Answer on a 4-likert scale",,1.59,Psychology,FALSE,,
107,Hodge,2017,22,02-01-2021,PubmMed,"Hodge, L. M., Turner, K. M. T., Sanders, M. R., & Filus, A. (2016). Sustained Implementation Support Scale: Validation of a Measure of Program Characteristics and Workplace Functioning for Sustained Program Implementation. The Journal of Behavioral Health Services & Research, 44(3), 442–464. https://doi.org/10.1007/s11414-016-9505-z",Program Burden,0.81,3,FALSE,FALSE,Interference with work schedule and responsibilities; Interference with family life; Interference with personal free time,4,"The survey was open for 3 months, and participants were
offered the chance to go into a draw to win an iPad for completing the survey. Answer on a 4-likert scale",,1.59,Psychology,FALSE,,
108,Hodge,2017,22,02-02-2021,PubmMed,"Hodge, L. M., Turner, K. M. T., Sanders, M. R., & Filus, A. (2016). Sustained Implementation Support Scale: Validation of a Measure of Program Characteristics and Workplace Functioning for Sustained Program Implementation. The Journal of Behavioral Health Services & Research, 44(3), 442–464. https://doi.org/10.1007/s11414-016-9505-z",Workplace Support,0.92,7,FALSE,FALSE,"Staff in my organization are supportive of offering the program for parents in the community;  My supervisor is supportive of offering the program for parents in the community; My supervisor and organization support collaboration with other community services around the program; My organization commits resources to planning and providing the program; My work with the program is viewed positively by my supervisor; My work with the program is viewed positively by my co-workers; While working on the program, I am able to rely on my co-workers for ideas and support",4,"The survey was open for 3 months, and participants were
offered the chance to go into a draw to win an iPad for completing the survey. Answer on a 4-likert scale",,1.59,Psychology,TRUE,,
109,Hodge,2017,22,02-03-2021,PubmMed,"Hodge, L. M., Turner, K. M. T., Sanders, M. R., & Filus, A. (2016). Sustained Implementation Support Scale: Validation of a Measure of Program Characteristics and Workplace Functioning for Sustained Program Implementation. The Journal of Behavioral Health Services & Research, 44(3), 442–464. https://doi.org/10.1007/s11414-016-9505-z",Workplace cohesion,0.85,6,FALSE,FALSE,There is a sense of unity and cohesion in this team; There is not much group spirit among team members; There is a strong feeling of belonging in the team; Members of this team feel close to each other; This is a decision making team; This team has a hard time resolving conflicts,4,"The survey was open for 3 months, and participants were
offered the chance to go into a draw to win an iPad for completing the survey. Answer on a 4-likert scale",,1.59,Psychology,FALSE,,
